agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect8b_com|nalu_mate8b_com|nalu_nat8b_com|prom_lect8b_com|prom_mate8b_com|prom_nat8b_com|dif_lect8b_com|dif_mate8b_com|dif_nat8b_com|sigdif_lect8b_com|sigdif_mate8b_com|sigdif_nat8b_com
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|4|"ÑUBLE"|37|"COBQUECURA"|4|"ÑUBLE"|50|49|49|225|218|239|11|-16|-11|0|-1|0
2015|20160908|"final20160908v1"|"8b"|10|"LOS LAGOS"|1|"LLANQUIHUE"|12|"COCHAMÓ"|2|"LLANQUIHUE"|35|41|41|222|233|251|||-20|||-1
2015|20160908|"final20160908v1"|"8b"|11|"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO"|3|"CAPITAN PRAT"|4|"COCHRANE"|1|"COYHAIQUE"|51|51|51|227|244|244|12|-8|-17|0|0|-1
2015|20160908|"final20160908v1"|"8b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|1|"CACHAPOAL"|1|"CODEGUA"|1|"CACHAPOAL"|96|98|94|230|226|235|8|-5|-6|0|0|0
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|4|"ÑUBLE"|38|"COELEMU"|4|"ÑUBLE"|184|186|186|248|252|273|15|1|-5|1|0|0
2015|20160908|"final20160908v1"|"8b"|11|"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO"|1|"COYHAIQUE"|5|"COIHAIQUE"|1|"COYHAIQUE"|811|832|833|239|264|265|11|11|-8|1|1|-1
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|4|"ÑUBLE"|39|"COIHUECO"|4|"ÑUBLE"|325|323|323|235|248|254|7|5|-9|0|0|-1
2015|20160908|"final20160908v1"|"8b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|1|"CACHAPOAL"|2|"COINCO"|1|"CACHAPOAL"|73|73|73|261|276|260|24|22|-11|1|1|0
2015|20160908|"final20160908v1"|"8b"|7|"MAULE"|4|"LINARES"|13|"COLBÚN"|3|"LINARES"|268|261|261|241|238|252|16|0|0|1|0|0
2015|20160908|"final20160908v1"|"8b"|1|"TARAPACÁ"|4|"TAMARUGAL"|4|"COLCHANE"|2|"TAMARUGAL"|6|5|5|191|227|223|-40|||-1||
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|3|"CHACABUCO"|10|"COLINA"|3|"SANTIAGO NORTE"|1955|1960|1958|254|278|277|6|3|-7|0|0|0
2015|20160908|"final20160908v1"|"8b"|9|"LA ARAUCANÍA"|2|"MALLECO"|23|"COLLIPULLI"|3|"MALLECO"|371|371|372|241|245|254|15|9|-10|1|1|-1
2015|20160908|"final20160908v1"|"8b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|1|"CACHAPOAL"|3|"COLTAUCO"|1|"CACHAPOAL"|219|223|223|240|254|254|10|3|-9|1|0|0
2015|20160908|"final20160908v1"|"8b"|4|"COQUIMBO"|3|"LIMARÍ"|11|"COMBARBALÁ"|3|"LIMARÍ"|149|145|147|241|243|257|-3|0|3|0|0|0
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|1|"CONCEPCIÓN"|23|"CONCEPCIÓN"|3|"CONCEPCIÓN"|2739|2797|2796|248|278|278|-4|3|-9|0|0|-1
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|11|"CONCHALÍ"|3|"SANTIAGO NORTE"|1353|1335|1340|225|246|249|1|0|-12|0|0|-1
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|1|"VALPARAÍSO"|30|"CONCÓN"|4|"VALPARAÍSO"|505|515|516|253|276|276|4|-4|-13|0|0|-1
2015|20160908|"final20160908v1"|"8b"|7|"MAULE"|1|"TALCA"|21|"CONSTITUCIÓN"|4|"TALCA"|631|643|642|257|274|276|6|4|-4|0|0|0
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|2|"ARAUCO"|3|"CONTULMO"|1|"ARAUCO"|96|97|97|249|246|256|-2|-2|0|0|0|0
2015|20160908|"final20160908v1"|"8b"|3|"ATACAMA"|1|"COPIAPÓ"|3|"COPIAPÓ"|1|"COPIAPÓ - CHAÑARAL"|2080|2113|2111|237|256|258|4|1|-8|0|0|-1
2015|20160908|"final20160908v1"|"8b"|4|"COQUIMBO"|1|"ELQUI"|6|"COQUIMBO"|2|"ELQUI"|2547|2552|2555|238|253|259|3|-1|-8|0|0|-1
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|1|"CONCEPCIÓN"|24|"CORONEL"|3|"CONCEPCIÓN"|1256|1263|1266|236|254|256|0|5|-9|0|0|-1
2015|20160908|"final20160908v1"|"8b"|14|"LOS RÍOS"|1|"VALDIVIA"|5|"CORRAL"|2|"VALDIVIA"|51|53|53|225|230|235|15|13|-8|1|0|0
2015|20160908|"final20160908v1"|"8b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|3|"CUNCO"|1|"CAUTÍN NORTE"|212|212|212|239|238|249|2|-4|-5|0|0|0
2015|20160908|"final20160908v1"|"8b"|9|"LA ARAUCANÍA"|2|"MALLECO"|24|"CURACAUTÍN"|3|"MALLECO"|193|193|193|221|231|237|-2|-2|-19|0|0|-1
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|5|"MELIPILLA"|44|"CURACAVÍ"|7|"TALAGANTE"|366|365|368|237|258|260|7|10|-5|0|1|0
2015|20160908|"final20160908v1"|"8b"|10|"LOS LAGOS"|2|"CHILOÉ"|4|"CURACO DE VÉLEZ"|1|"CHILOÉ"|32|33|33|240|258|256|16|17|-8|1|1|0
