agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect2b_com|prom_lect2b_com|dif_lect2b_com|sigdif_lect2b_com
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|2|"ARAUCO"|4|"CURANILAHUE"|1|"ARAUCO"|391|259|-6|0
2015|20160908|"final20160908v1"|"2b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|12|"CURARREHUE"|2|"CAUTÍN SUR"|96|247|-12|-1
2015|20160908|"final20160908v1"|"2b"|7|"MAULE"|1|"TALCA"|22|"CUREPTO"|4|"TALCA"|92|261|8|0
2015|20160908|"final20160908v1"|"2b"|7|"MAULE"|3|"CURICÓ"|4|"CURICÓ"|2|"CURICÓ"|2059|259|0|0
2015|20160908|"final20160908v1"|"2b"|10|"LOS LAGOS"|2|"CHILOÉ"|5|"DALCAHUE"|1|"CHILOÉ"|195|259|-7|0
2015|20160908|"final20160908v1"|"2b"|3|"ATACAMA"|2|"CHAÑARAL"|4|"DIEGO DE ALMAGRO"|1|"COPIAPÓ - CHAÑARAL"|224|248|-15|-1
2015|20160908|"final20160908v1"|"2b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|1|"CACHAPOAL"|4|"DOÑIHUE"|1|"CACHAPOAL"|281|253|-1|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|36|"EL BOSQUE"|6|"SANTIAGO SUR"|2601|241|-6|0
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|4|"ÑUBLE"|40|"EL CARMEN"|4|"ÑUBLE"|180|248|0|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|6|"TALAGANTE"|45|"EL MONTE"|7|"TALAGANTE"|432|239|-2|0
2015|20160908|"final20160908v1"|"2b"|5|"VALPARAÍSO"|6|"SAN ANTONIO"|15|"EL QUISCO"|2|"SAN ANTONIO"|155|241|-4|0
2015|20160908|"final20160908v1"|"2b"|5|"VALPARAÍSO"|6|"SAN ANTONIO"|16|"EL TABO"|2|"SAN ANTONIO"|62|238|-7|0
2015|20160908|"final20160908v1"|"2b"|7|"MAULE"|1|"TALCA"|23|"EMPEDRADO"|4|"TALCA"|58|256|1|0
2015|20160908|"final20160908v1"|"2b"|9|"LA ARAUCANÍA"|2|"MALLECO"|25|"ERCILLA"|3|"MALLECO"|96|250|7|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|28|"ESTACIÓN CENTRAL"|5|"SANTIAGO PONIENTE"|1552|252|3|0
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|1|"CONCEPCIÓN"|25|"FLORIDA"|3|"CONCEPCIÓN"|128|248|15|1
2015|20160908|"final20160908v1"|"2b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|13|"FREIRE"|2|"CAUTÍN SUR"|291|242|1|0
2015|20160908|"final20160908v1"|"2b"|3|"ATACAMA"|3|"HUASCO"|7|"FREIRINA"|2|"HUASCO"|78|251|8|0
