Código Unico Territorial,Comuna,Grado Accesibilidad,Nombre Accesibilidad,Numero Región,Provincia,Región,Necesidad de Avión
9109,Loncoche,1,Accesible,9,Cautin,de la Araucania,0
9110,Melipeuco,3,No Accesible,9,Cautin,de la Araucania,0
9111,Nueva Imperial,1,Accesible,9,Cautin,de la Araucania,0
9112,Padre Las Casas,1,Accesible,9,Cautin,de la Araucania,0
9113,Perquenco,1,Accesible,9,Cautin,de la Araucania,0
9114,Pitrufquén,1,Accesible,9,Cautin,de la Araucania,0
9115,Pucón,1,Accesible,9,Cautin,de la Araucania,0
9116,Saavedra,2,Medianamente,9,Cautin,de la Araucania,0
9117,Teodoro Schmidt,2,Medianamente,9,Cautin,de la Araucania,0
9118,Toltén,2,Medianamente,9,Cautin,de la Araucania,0
9119,Vilcún,2,Medianamente,9,Cautin,de la Araucania,0
9120,Villarrica,1,Accesible,9,Cautin,de la Araucania,0
9121,Cholchol,2,Medianamente,9,Cautin,de la Araucania,0
9201,Angol,1,Accesible,9,Malleco,de la Araucania,0
9202,Collipulli,1,Accesible,9,Malleco,de la Araucania,0
9203,Curacautín,2,Medianamente,9,Malleco,de la Araucania,0
9204,Ercilla,1,Accesible,9,Malleco,de la Araucania,0
9205,Lonquimay,3,No Accesible,9,Malleco,de la Araucania,0
9206,Los Sauces,2,Medianamente,9,Malleco,de la Araucania,0
9207,Lumaco,2,Medianamente,9,Malleco,de la Araucania,0
9208,Purén,2,Medianamente,9,Malleco,de la Araucania,0
9209,Renaico,1,Accesible,9,Malleco,de la Araucania,0
9210,Traiguén,1,Accesible,9,Malleco,de la Araucania,0
9211,Victoria,1,Accesible,9,Malleco,de la Araucania,0
10101,Puerto Montt,1,Accesible,10,Llanquihue,de los Lagos,0
10102,Calbuco,1,Accesible,10,Llanquihue,de los Lagos,0
10103,Cochamó,3,No Accesible,10,Llanquihue,de los Lagos,0
10104,Fresia,1,Accesible,10,Llanquihue,de los Lagos,0
10105,Frutillar,1,Accesible,10,Llanquihue,de los Lagos,0
10106,Los Muermos,2,Medianamente,10,Llanquihue,de los Lagos,0
10107,Llanquihue,1,Accesible,10,Llanquihue,de los Lagos,0
10108,Maullín,2,Medianamente,10,Llanquihue,de los Lagos,0
10109,Puerto Varas,1,Accesible,10,Llanquihue,de los Lagos,0
10201,Castro,1,Accesible,10,Chiloe,de los Lagos,0
10202,Ancud,1,Accesible,10,Chiloe,de los Lagos,0
